problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Tá an-tábhacht ag baint le nasc slán leis an idirlíon nuair a bhíonn bearta airgeadais á ndéanamh ar líne nó aipeanna baincéireachta á n-úsáid. 
Mínigh gach ceann díobh seo a leanas i dtaca le naisc shlána:
 • Criptiú sonraí
 • VPN (líonra príobháideach fíorúil)
 • Ilbhallaí dóiteáin.","Criptiú sonraí:córas a athraíonn gnáth-théacs nó sonraí inléite i  
bhformáid neamh-inléite (rúntéacs) agus úsáid á baint as algartam agus eochair 
chriptiúcháin. Is é cuspóir an chriptithe sonraí faisnéis íogair a dhaingniú a fhágann 
go bhfuil sé deacair do dhaoine aonair nó d'eintitis neamhúdaraithe sonraí a 
rochtain, a thuiscint nó a ionramháil gan an eochair dhíchriptiúcháin chuí. 
VPN: Líonra Príobháideach Fíorúil – chun naisc shlána agus chriptithe a bhunú ar 
an idirlíon chun ligean d'úsáideoirí rochtain a fháil ar líonraí príobháideacha ó chian. 
Ilbhallaí dóiteáin:raon sraitheanna balla dóiteáin chun slándáil a fheabhsú, áirítear 
orthu seo balla dóiteáin imlíne a chuirfidh bac ar thrácht mailíseach sula sroicheann 
sé an líonra inmheánach, balla dóiteáin inmheánach chun cosc a chur ar scaipeadh 
bagairtí, cosnaíonn balla dóiteáin aipe seirbhísí ar leith, srl.  ",,,,
Mínigh an téarma cúléisteacht líonra agus na hiarmhairtí féideartha do ghnólacht.,"Cúléisteacht líonra:  
 is éard is cúléisteacht líonra ann monatóireacht, léamh nó tascradh neamhúdaraithe 
ar chumarsáid líonra chun sonraí íogaire a ghabháil de ghnáth. Is minic a bhíonn sí i 
bhfoirm faireachas éighníomhach agus cuidítear léi le cumarsáid gan chriptiú. 
  
 Iarmhairtí: Caillteanas gnó, damáiste do cháil, caillteanas airgeadais agus caillteanas 
faisnéise rúnda.",,,,
"Is minic a bhíonn íomhánna, físeán agus fuaim i bhfógraí ar líne.  Luaigh iarmhír  
chomhadainm thipiciúil do gach ceann de na heilimintí atá liostaithe thuas. "," Íomhánna:  .jpg, .jpeg, .gif, .heic, .png 
  Físeán:  .mp4, .mov, .wmv  
  Fuaim:  .m4a, .wav, etc. ",,,,
"Tabhair breac-chuntas ar fheidhm dhá cheann ar bith de na cineálacha seirbheálaí seo:
 • Rialaitheoir fearann
 • Freastalaí comhad
 • Freastalaí feidhmchláir.","Rialaitheoir Fearann:  
  soláthraíonn sé fíordheimhniú láraithe agus rochtain agus cuntais úsáideoirí, 
bainistíonn sé beartais maidir le slándáil agus cumraíocht líonra. 
  
  Freastalaí Comhad:  
  déanann sé comhaid agus fillteáin s stóráil agus a eagrú, éascaíonn sé roinnt 
acmhainní agus bainistíonn sé ceadanna rialaithe. 
 
  Freastalaí Feidhmchláir: soláthraíonn sé ardán chun feidhmeanna a óstáil agus a 
fhorghníomhú, bainistíonn sé úsáideoirí iomadúla.   ",,,,
"Tá gnó forbartha ag cuideachta Éireannach, The Laser Lab®, ina ndéantar gearradh agus greanadh le léasar ar raon leathan ábhar agus táirgí, amhail an bronntanas pearsantaithe a thaispeántar. 
Mínigh conas a úsáideann cuideachtaí na teicnící a leanas chun táirgí
 nua a fhorbairt don mhargadh:
 • Mapáil choincheapúil
 • Pleanáil acmhainne.","Mapáil choincheapúil: teicníc taighde margaidh a chuireann ar chumas cuideachtaí a 
fheiceáil cén tuairim atá ag a gcustaiméirí ar a gcuid táirgí i gcomparáid le táirgí eile. 
Cuireann sí ar chumas cuideachta bearnaí a aimsiú sa mhargadh, breathnú ar sheasamh 
branda agus táirgí á bhforbairt. 
 
 Pleanáil acmhainne: Cuireann sí ar chumas cuideachta a chinntiú go bhfuil na hacmhainní 
agus na cumais is gá acu chun freastal ar an éileamh ar a gcuid táirgí nó seirbhísí. Is féidir 
leo an t-éileamh ar tháirgí nua amach anseo a thuar.  ",,,,
"Déan idirdhealú idir cáilitheoir ordaithe (order qualifier) agus
 buaiteoir ordaithe (order winner) nuair a bhíonn táirge á fhorbairt ag
 cuideachta.","Comhlíonann cáilitheoir ordaithe na buncheanglais nó na saintréithe a lorgaíonn 
tomhaltóirí i dtáirge.  
 Is éard is buaiteoir ordaithe ann táirge a bhfuil tréithe uathúla aige a chuireann ar leithligh 
ó na táirgí eile é agus a dhéanann níos inmhianaithe do thomhaltóirí é.   ",,,,
"Is mian le club rugbaí 50 trófaí pearsantaithe a cheannach, cosúil leo siúd a thaispeántar thíos, mar dhuaiseanna na bliana. 
Déan idirdhealú idir táirgeadh aonuaire, táirgeadh baisce, agus olltáirgeadh, agus luaigh cén córas táirgthe is oiriúnaí chun an t-ordú seo a chomhlíonadh.","Aonuaire:  Tionscadail aonuaire: is iondúil go dtáirgtear mír amháin nó líon íseal earraí, is 
féidir iad a bheith costasach, srl. 
 
Baisctháirgeadh:táirgí a tháirgtear le linn thréimhse áirithe ama mar go bhféadfadh luainiú 
teacht ar an éileamh ar na hearraí, táirgeacht íseal, úsáidtear é le haghaidh earraí spóirt a 
d'fhéadfadh athrú gach bliain srl.  
 
Olltáirgeacht:déantar táirgí caighdeánacha a tháirgeadh i méideanna móra, bíonn an t
éileamh ard agus cobhsaí, úsáidtear é le haghaidh earraí leictreacha tí srl.   
  Is oiriúnaí an baiscthtáirgeadh don ordú seo. ",,,,
Aimsigh an chainníocht chomheá (BEQ) agus mol an modh cóimeála is oiriúnaí don táirge.,"$\text{BEQ (cainníocht chóimheá)} &= \frac{\text{Costais Sheasta}}{\text{Costas láimhe in aghaidh an aonaid} - \text{Costas uathoibrithe in aghaidh an aonaid}} \\
&= \frac{500}{8.5 - 0.15} \\
&= 60$ 
Is oiriúnaí Rogha A do bhaisc 50 táirge. ",,,,
"Tabhair breac-chuntas, agus samplaí á dtabhairt agat, ar an difríocht idir tástáil luathaithe chainníochtúil agus tástáil luathaithe cháilíochtúil. ","Tástáil luasghéaraithe chainníochtúil: díríonn sí ar anailís a dhéanamh ar pharaiméadair 
intomhaiste cuir i gcás airíonna ábhartha, rátaí feidhmíochta agus teipe. Déanfaidh siad 
seo feidhmíocht táirgí a thuar i gcaitheamh tréimhse fhada. 
 
Tástáil luasghéaraithe cháilíochtúil: féachann sí le tréithe iompraíochta foriomlána agus 
teip táirge faoi dhálaí luasghéaraithe a thuiscint. Bíonn táirgí faoi réir tástála struis freisin 
ach bíonn béim níos mó bhreathnú ar ghnéithe cáilíochtúla cuir i gcás cigireachtaí amhairc, 
measúnuithe ar chaitheamh agus cuimilt agus anailís shuibiachtúil.",Technology_O4-Q4c_I.png,,,
Mínigh gach ceann de na príomhchéimeanna a bhaineann le cuar an tobáin folctha agus tagairt á déanamh agat d’iontaofacht táirge ag gach céim.,"A  léirítear rátaí teipe luatha a laghdaíonn go tapa de réir mar a cheartaítear 
lochtanna.  Beidh iontaofacht neamhleor ag roinnt táirgí luatha. 
B  Tá ráta teipe íseal aige, tá an táirge iontaofa.
C  is é an chéim chaite é nuair a thagann méadú ar theipeanna agus nuair a 
éiríonn iontaofacht ina saincheist shuntasach de réir mar a éiríonn an táirge 
níos lú iontaofa  mar gheall ar sheirbhís leathnaithe de ghnáth.   ",,,,
"Taispeántar an tsaolré a bhfuiltear ag súil léi le haghaidh táirge stíleála gruaige. 
Ainmnigh agus déan cur síos ar gach ceann de na céimeanna saolré A, B, C, agus D.","A - Réamhrá: Tar éis an taighde agus an fhorbairt go léir a chríochnú, seoltar an 
táirge. Seans gur beag táirge eile atá ann ar aon dul leis an táirge atá á sheoladh agus 
gur beag éileamh atá air ar dtús toisc go dtógfadh sé am ar an margadh glacadh le 
táirge nua. 
B - Fás: Glacann an margadh leis an táirge agus tosaíonn díolacháin ag dul i méid. 
Seans go dteastóidh ón gcuideachta cúpla athrú chun feabhais a dhéanamh ar an 
táirge le go bhfanfadh sé iomaíoch. 
C - Aibíocht: Baineann díolacháin a mbuaicphointe amach. Isteach le hiomaitheoirí 
eile sa mhargadh agus réitigh eile á dtairiscint acu is téann an iomaíocht i ngéire. 
D - Meath: Téann díolacháin i léig de réir mar a thagann sáithiú ar an éileamh. 
Baintear mórchuid na dtáirgí den mhargadh de réir a chéile ag an bpointe seo toisc 
díolacháin a bheith ag dul i léig agus an brú atá ann ó iomaitheoirí. Caithfidh an 
margadh leis an táirge mar sheanrud ansin nach bhfuil tóir air a thuilleadh. ",Technology_O4-Q4d1_I.png,,,
"Taispeántar thuas saolré uasdátaithe don táirge stíleála gruaige.
Léiríonn sé sin athrú suntasach ag céim D den táirge.
Mol dhá chúis a d’fhéadfadh a bheith leis an athrú seo.","Mol dhá chúis a d’fhéadfadh a bheith leis an athrú seo. 
Díoladh méideanna breise den táirge:  
D'fhéadfaí gur cuireadh gnéithe 
feabhsaithe leis.  
D'fhéadfaí gur athsheoladh an táirge le 
feachtas margaíochta.  
D'fhéadfaí gur díríodh ar mhargaí nua. 
Coigeartú praghais. 
Éileamh séasúrach. 
D'fhéadfadh sástacht éifeachtach na gcustaiméirí athcheannaitheoirí a spreagadh. ",Technology_O4-Q4d2_I.png,,Technology_O4-A4d2_E.png,
"Is cuideachta pacáistíochta Éireannach é Barry Packaging, atá faoi úinéireacht teaghlaigh, agus a rinne ceiliúradh in 2023 ar 50 bliain i mbun gnó.  Dearann agus soláthraíonn siad raon leathan de phacáistiú brandáilte, ó bhoscaí stórála go málaí bronntanais só. 
Luaigh dhá chúis le pacáistiú brandáilte a úsáid."," Cruthaíonn sé foinse fógraíochta cuideachta, is féidir leis táirge a dhéanamh níos 
tarraingtí, d'fhéadfadh luach níos mó a bheith aige ná mar atá ag pacáistiú 
ginearálta, srl.  ",Technology_O5-Q5a_E.png,,,
"Luaigh dhá chúis le pacáistiú brandáilte a úsáid.
Tabhair breac-chuntas ar dhá chúis a mbaintear úsáid leathan as cairtchlár rocach i dtionscal na pacáistíochta.","Ábhar láidir agus éadrom, maolófar tuairt, is féidir táirgí a stóráil agus a chruachadh 
go héifeachtach, is féidir táirge a athúsáid, is féidir é a athchúrsáil, tá sé 
inmhúirínithe, srl. ",,,,
"Taispeántar scanóir optúil barrachód a úsáidtear sa tionscal miondíola chun barrachóid phriontáilte a léamh.  Is as polaistiréin theirmeaplaisteach ardtuinsimh (HIPS) atá an scanóir déanta. 
Déan idirdhealú idir teirmeaplaistigh agus plaistigh theirmithéachtacha."," Teirmeaplaistigh: múnlaítear iad seo i gcruth agus is féidir iad a athchúrsáil ansin 
nuair atá a n-úsáid tosaigh críochnaithe. 
Plaistigh theirmithéachtacha: Déantar táirgí plaisteacha a mhúnlú i gcruth lena n
úsáid go buan, ní féidir iad a athchúrsáil.  ",Technology_O5-Q5b_E.png,,,
Tabhair breac-chuntas ar dhá bhreiseán plaistigh a d’fhéadfaí a úsáid agus an scanóir á tháirgeadh,"Cuireann líocha dath leis, déanann bealaí inmhúnlaithe é, méadaíonn plaistigh 
solúbthacht, cuireann líontóirí bulc leis an bplaisteach. ",,,,
"Is minic a úsáidtear boscaí adhmaid pearsantaithe le haghaidh bronntanas 
cuideachta. 
Déan cur síos ar thrí chéim i ndéanamh bosca bronntanais, cosúil leis an gceann a thaispeántar, agus teicnící ceardaíochta de láimh á n-úsáid.","Gearr na píosaí de réir méide. 
  Is féidir coirnéil a cheangal ag uillinneacha cearta le hailt, greamacháin 
nó duail. 
  Is féidir bonn an bhosca a cheangal go buan. 
  Is féidir clúdach an bhosca a dhearadh chun a cheangal agus a dhúnadh nó chun suí 
ar bharr thaobhanna an bhosca. 
  Is féidir teicníc bhailchríocha (vearnais, ruaim, céir, srl.) a chur i bhfeidhm. ",Technology_O5-Q5c_E.png,,,
Tabhair breac-chuntas ar theicníc chun suaitheantas na cuideachta a chur ar an mbosca bronntanais,"Is féidir suaitheantas cuideachta a ghreanadh de láimh, a shnoí, marcíneacht a úsáid, 
a ghearradh le léasar, srl.",,,,
"Ta phacáistiú PET oiriúnach chun sailéid úra, fillteoga, bia mara, milseoga, feoil agus éineoil a chur ar taispeáint. Cuireann an ardsoiléire atá aige le cuma an táirge bia. 
Luaigh dhá chúis eile le PET a úsáid mar ábhar pacáistithe bia.","Tá sé trédhearcach, éadrom, is féidir é a athchúrsáil go héifeachtach, tá sé neamh
imoibríoch le taise agus gás, láidir agus marthanach, frithsheasmhach le raon 
ceimiceán, srl. Seasann PET do Theireataláit Pholatailéine.",Technology_O5-Q5d_E.png,,,
